periodo,tipo_entidad,entidad,clasificadora,rating_letra,rating_ordinal
2012 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC CUSCO,Moodys Local PE Clasificadora de Riesgo,B,6.0
2012 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC DEL SANTA,Apoyo y Asociados Internacionales,C-,2.0
2012 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC DEL SANTA,Class y Asociados S.A.,C-,2.0
2012 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC HUANCAYO,Class y Asociados S.A.,B,6.0
2012 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC HUANCAYO,Moodys Local PE Clasificadora de Riesgo,B,6.0
2012 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC ICA,Class y Asociados S.A.,C+,4.0
2012 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC ICA,Moodys Local PE Clasificadora de Riesgo,C+,4.0
2012 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC MAYNAS,Class y Asociados S.A.,C+,4.0
2012 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC PAITA,Class y Asociados S.A.,C-,2.0
2012 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC PAITA,PCR (Pacific Credit Rating),C-,2.0
2012 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC PISCO,Class y Asociados S.A.,C,3.0
2012 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC PISCO,PCR (Pacific Credit Rating),C,3.0
2012 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC PIURA,Class y Asociados S.A.,B-,5.0
2012 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC PIURA,Moodys Local PE Clasificadora de Riesgo,B-,5.0
2012 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC SULLANA,Class y Asociados S.A.,B,6.0
2012 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC SULLANA,Moodys Local PE Clasificadora de Riesgo,B,6.0
2012 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC TACNA,Class y Asociados S.A.,B-,5.0
2012 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC TACNA,Moodys Local PE Clasificadora de Riesgo,B-,5.0
2012 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC TRUJILLO,Class y Asociados S.A.,B-,5.0
2012 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMAC TRUJILLO,Moodys Local PE Clasificadora de Riesgo,B-,5.0
2012 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMCP LIMA,Apoyo y Asociados Internacionales,B,6.0
2012 - SEPTIEMBRE,Caja Municipal de Ahorro y Crédito,CMCP LIMA,Class y Asociados S.A.,B,6.0
2012 - SEPTIEMBRE,Banco,COFIDE,Apoyo y Asociados Internacionales,A,9.0
2012 - SEPTIEMBRE,Banco,COFIDE,Moodys Local PE Clasificadora de Riesgo,A+,10.0
2012 - SEPTIEMBRE,Banco,COMPARTAMOS BANCO,Apoyo y Asociados Internacionales,B,6.0
2012 - SEPTIEMBRE,Banco,COMPARTAMOS BANCO,Class y Asociados S.A.,B,6.0
2012 - SEPTIEMBRE,Caja Rural de Ahorro y Crédito,CR SR LUREN EL,Class y Asociados S.A.,C+,4.0
2012 - SEPTIEMBRE,Caja Rural de Ahorro y Crédito,CR SR LUREN EL,PCR (Pacific Credit Rating),C,3.0
2012 - SEPTIEMBRE,Caja Rural de Ahorro y Crédito,CRAC CAJAMARCA,Class y Asociados S.A.,C,3.0
2012 - SEPTIEMBRE,Caja Rural de Ahorro y Crédito,CRAC CAJAMARCA,PCR (Pacific Credit Rating),C-,2.0
2012 - SEPTIEMBRE,Caja Rural de Ahorro y Crédito,CRAC CREDINKA,Class y Asociados S.A.,B-,5.0
2012 - SEPTIEMBRE,Caja Rural de Ahorro y Crédito,CRAC CREDINKA,PCR (Pacific Credit Rating),B-,5.0
2012 - SEPTIEMBRE,Caja Rural de Ahorro y Crédito,CRAC INCASUR,Apoyo y Asociados Internacionales,C,3.0
2012 - SEPTIEMBRE,Caja Rural de Ahorro y Crédito,CRAC INCASUR,Class y Asociados S.A.,C,3.0
2012 - SEPTIEMBRE,Caja Rural de Ahorro y Crédito,CRAC LOS ANDES,Class y Asociados S.A.,B-,5.0
2012 - SEPTIEMBRE,Caja Rural de Ahorro y Crédito,CRAC LOS ANDES,PCR (Pacific Credit Rating),C+,4.0
2012 - SEPTIEMBRE,Caja Rural de Ahorro y Crédito,CRAC NUESTRA GENTE,Class y Asociados S.A.,B+,7.0
2012 - SEPTIEMBRE,Caja Rural de Ahorro y Crédito,CRAC NUESTRA GENTE,Moodys Local PE Clasificadora de Riesgo,B+,7.0
2012 - SEPTIEMBRE,Caja Rural de Ahorro y Crédito,CRAC PROFINANZAS,Apoyo y Asociados Internacionales,C,3.0
2012 - SEPTIEMBRE,Caja Rural de Ahorro y Crédito,CRAC PROFINANZAS,Class y Asociados S.A.,C,3.0
2012 - SEPTIEMBRE,Caja Rural de Ahorro y Crédito,CRAC PRYMERA,Apoyo y Asociados Internacionales,C,3.0
