periodo,seccion,indicador,entidad,valor
2015-04,EFICIENCIA Y GESTIÓN,Créditos Directos / Personal ( S/. Miles ),B. Continental,8275.0
2015-04,EFICIENCIA Y GESTIÓN,Créditos Directos / Personal ( S/. Miles ),B. De Comercio,1550.0
2015-04,EFICIENCIA Y GESTIÓN,Créditos Directos / Personal ( S/. Miles ),B. De Crédito del Perú (con sucursales en el exterior),3240.0
2015-04,EFICIENCIA Y GESTIÓN,Créditos Directos / Personal ( S/. Miles ),B. Financiero,2525.0
2015-04,EFICIENCIA Y GESTIÓN,Créditos Directos / Personal ( S/. Miles ),B. Interamericano de Finanzas,4989.0
2015-04,EFICIENCIA Y GESTIÓN,Créditos Directos / Personal ( S/. Miles ),Scotiabank Perú (con Sucursales en el Exterior),6082.0
2015-04,EFICIENCIA Y GESTIÓN,Créditos Directos / Personal ( S/. Miles ),Citibank,4330.0
2015-04,EFICIENCIA Y GESTIÓN,Créditos Directos / Personal ( S/. Miles ),Interbank (con sucursales en el exterior),3307.0
2015-04,EFICIENCIA Y GESTIÓN,Créditos Directos / Personal ( S/. Miles ),Mibanco,750.0
2015-04,EFICIENCIA Y GESTIÓN,Créditos Directos / Personal ( S/. Miles ),B. GNB,4933.0
2015-04,EFICIENCIA Y GESTIÓN,Créditos Directos / Personal ( S/. Miles ),B. Falabella Perú,1337.0
2015-04,EFICIENCIA Y GESTIÓN,Créditos Directos / Personal ( S/. Miles ),B. Santander Perú,33061.0
2015-04,EFICIENCIA Y GESTIÓN,Créditos Directos / Personal ( S/. Miles ),B. Ripley,792.0
2015-04,EFICIENCIA Y GESTIÓN,Créditos Directos / Personal ( S/. Miles ),B. Azteca Perú,161.0
2015-04,EFICIENCIA Y GESTIÓN,Créditos Directos / Personal ( S/. Miles ),Deutsche Bank Perú,0.0
2015-04,EFICIENCIA Y GESTIÓN,Créditos Directos / Personal ( S/. Miles ),B. Cencosud,606.0
2015-04,EFICIENCIA Y GESTIÓN,Créditos Directos / Personal ( S/. Miles ),B. ICBC,2057.0
2015-04,EFICIENCIA Y GESTIÓN,Depósitos / Número de Oficinas ( S/. Miles ),B. Continental,129583.54721580548
2015-04,EFICIENCIA Y GESTIÓN,Depósitos / Número de Oficinas ( S/. Miles ),B. De Comercio,59844.10105263157
2015-04,EFICIENCIA Y GESTIÓN,Depósitos / Número de Oficinas ( S/. Miles ),B. De Crédito del Perú (con sucursales en el exterior),142418.21393394077
2015-04,EFICIENCIA Y GESTIÓN,Depósitos / Número de Oficinas ( S/. Miles ),B. Financiero,52505.3203164557
2015-04,EFICIENCIA Y GESTIÓN,Depósitos / Número de Oficinas ( S/. Miles ),B. Interamericano de Finanzas,78451.25405747126
2015-04,EFICIENCIA Y GESTIÓN,Depósitos / Número de Oficinas ( S/. Miles ),Scotiabank Perú (con Sucursales en el Exterior),138157.6124095238
2015-04,EFICIENCIA Y GESTIÓN,Depósitos / Número de Oficinas ( S/. Miles ),Citibank,483200.0199166667
2015-04,EFICIENCIA Y GESTIÓN,Depósitos / Número de Oficinas ( S/. Miles ),Interbank (con sucursales en el exterior),72132.5326877193
2015-04,EFICIENCIA Y GESTIÓN,Depósitos / Número de Oficinas ( S/. Miles ),Mibanco,14532.9766
2015-04,EFICIENCIA Y GESTIÓN,Depósitos / Número de Oficinas ( S/. Miles ),B. GNB,225596.29346666666
2015-04,EFICIENCIA Y GESTIÓN,Depósitos / Número de Oficinas ( S/. Miles ),B. Falabella Perú,27843.824175824175
2015-04,EFICIENCIA Y GESTIÓN,Depósitos / Número de Oficinas ( S/. Miles ),B. Santander Perú,2466483.403
2015-04,EFICIENCIA Y GESTIÓN,Depósitos / Número de Oficinas ( S/. Miles ),B. Ripley,28464.807137931035
2015-04,EFICIENCIA Y GESTIÓN,Depósitos / Número de Oficinas ( S/. Miles ),B. Azteca Perú,5479.024813953489
2015-04,EFICIENCIA Y GESTIÓN,Depósitos / Número de Oficinas ( S/. Miles ),Deutsche Bank Perú,98997.333
2015-04,EFICIENCIA Y GESTIÓN,Depósitos / Número de Oficinas ( S/. Miles ),B. Cencosud,6872.165434782609
2015-04,EFICIENCIA Y GESTIÓN,Depósitos / Número de Oficinas ( S/. Miles ),B. ICBC,76888.115
2015-04,RENTABILIDAD,Utilidad Neta Anualizada / Patrimonio Promedio,B. Continental,26.510623876188333
2015-04,RENTABILIDAD,Utilidad Neta Anualizada / Patrimonio Promedio,B. De Comercio,11.016208731837349
2015-04,RENTABILIDAD,Utilidad Neta Anualizada / Patrimonio Promedio,B. De Crédito del Perú (con sucursales en el exterior),24.7008380990901
2015-04,RENTABILIDAD,Utilidad Neta Anualizada / Patrimonio Promedio,B. Financiero,13.169887103008662
2015-04,RENTABILIDAD,Utilidad Neta Anualizada / Patrimonio Promedio,B. Interamericano de Finanzas,12.596090465178772
2015-04,RENTABILIDAD,Utilidad Neta Anualizada / Patrimonio Promedio,Scotiabank Perú (con Sucursales en el Exterior),18.88654104650354
